rank,symbol,code,name,market,sector,median_turnover,n_obs,sigma,sigma_sq,g,mu,drag,drag_ratio,se_g,se_drag,sigma_sq_lo,sigma_sq_hi,realized_qv,simple_mean,total_log_return,skew,excess_kurtosis,jarque_bera,jb_pvalue,lb_sq_stat,lb_sq_pvalue,normal_ok,no_arch_ok,gbm_score
1,091810.KS,091810,트리니티항공,KOSPI,항공 여객 운송업,1171601636.0,502,1.7388467198914042,3.023587915277095,-0.7456818262944163,0.7661121313441313,1.5117939576385475,1.9733324872249831,1.2319971757821184,0.09551877411792775,2.6815035289854388,3.4359419459481133,3.019771345217297,1.0423372526285883,-1.4854455428563371,-0.7232001859192942,200.79296141694005,826589.4519881808,0.0,125.87680807971928,3.233588779125139e-22,False,False,0.15178665427204707
2,042940.KQ,042940,상지건설,KOSDAQ,건물 건설업,744547055.0,502,1.4038524102214496,1.9708015896845734,0.3544317679676398,1.3398325628099266,0.9854007948422867,0.735465626223983,0.9946490307758469,0.06225998950623592,1.7478279334851032,2.2395776272699757,1.9673741896199752,1.5017532879283848,0.7060505853958539,4.372359711388157,43.08463654679129,39628.51007571074,0.0,2.4910885768364426,0.9910049459901058,False,True,0.35
3,101000.KQ,101000,KS인더스트리,KOSDAQ,특수 목적용 기계 제조업,574019415.0,502,1.3340452039899406,1.7796766062885623,-0.40725982183619713,0.482578481308084,0.8898383031442811,1.8439245378954174,0.9451896506346059,0.05622212170518566,1.578326555713285,2.0223872012694772,1.7767896106013208,0.8093418271971472,-0.8112874228641704,9.029211821761853,149.46412964956087,464738.7920702515,0.0,0.087312703870536,0.9999999987257213,False,True,0.35
4,069460.KS,069460,대호에이엘,KOSPI,1차 비철금속 제조업,545511715.5,502,1.266610102983609,1.6043011529801483,0.3950073184703358,1.19715789496041,0.8021505764900742,0.6700457641108413,0.8974109401605906,0.050681800477628304,1.4227928288559215,1.8230942112203283,1.6017245037187415,1.7399838692022183,0.7868796582226532,16.08200849731309,331.9023981611222,2279964.367777888,0.0,0.03770712129610627,0.9999999999804582,False,True,0.35
5,003620.KS,003620,KG모빌리티,KOSPI,자동차용 엔진 및 자동차 제조업,1306060740.0,502,1.2259508788173459,1.5029555572730229,-1.190800175712647,-0.4393223970761355,0.7514777786365114,,0.8686033122257624,0.047480171374904304,1.3329133280275542,1.7079272000122883,1.5055886261002758,-0.6823753346584297,-2.3721495563799557,-17.986534162697172,373.7789146990114,2891240.431526238,0.0,0.027856125277626355,0.9999999999956825,False,True,0.35
6,376900.KQ,376900,로킷헬스케어,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,22690847050.0,307,1.2237830593603003,1.4976449763772564,0.5982451471396324,1.3470676353282607,0.7488224881886282,0.5558907871809652,1.108754817104752,0.06053871007136367,1.286028280226008,1.7664559912058713,1.494186881185285,1.3586985459703638,0.7288145244915363,0.4971446828745155,2.654134249820835,98.43792949961401,4.211872385873851e-22,13.277871287790715,0.20854802731995353,False,True,0.8474209798997614
7,288330.KQ,288330,파라택시스코리아,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업",1782562590.0,502,1.2049930853409994,1.4520083357196207,-0.8379793474074818,-0.11197517954767144,0.7260041678598104,,0.8537544229716846,0.04587068744923202,1.287730201816081,1.6500318450664728,1.451902434020961,-0.11852905836766622,-1.6693080650736345,-0.3885244981444113,5.879828317956129,718.4974827363285,9.555512679717656e-157,379.0433420439761,2.7003660962299706e-75,False,False,0.3595060924823468
8,069540.KQ,069540,빛과전자,KOSDAQ,통신 및 방송 장비 제조업,870787415.0,502,1.1894433716569184,1.4147755343785782,-0.05874656727524079,0.6486411999140483,0.7073877671892891,1.0905686645914956,0.8427372337485858,0.044694458531559955,1.2547098660469225,1.6077212698566505,1.4119709514977066,0.6667229293997291,-0.11702689195305904,0.9834997162893653,4.110989191090461,424.9262703231376,5.3509733924769574e-93,88.50446614209812,1.0596370357934816e-14,False,False,0.399438838648305
9,187660.KQ,187660,페니트리움바이오,KOSDAQ,자연과학 및 공학 연구개발업,1812206910.0,502,1.1663364729206571,1.3603407680649988,0.10754384445181968,0.787714228484319,0.6801703840324994,0.8634735281362758,0.8263656734158067,0.04297479887774352,1.2064337708714385,1.5458627421288171,1.3576768214470607,0.7785743292398133,0.2142341663286249,-0.848968175714063,18.532138706283884,7092.420128849461,0.0,11.925865709794046,0.29004868518888427,False,True,0.4934021216190625
10,062970.KQ,062970,한국첨단소재,KOSDAQ,통신 및 방송 장비 제조업,1858486971.675293,502,1.1640846428623373,1.355093055747935,-0.037610800101339034,0.6399357277726285,0.6775465278739675,1.058772777435396,0.8247702203833711,0.04280901734219867,1.2017797771753371,1.5398993518204467,1.3523992805727483,0.6594684873876193,-0.07492310178917538,1.1091433972825162,5.876030185275482,807.3416841326251,4.8750692069158956e-176,158.5106138907301,6.575859360693268e-29,False,False,0.3116357485104355
11,299660.KQ,299660,셀리드,KOSDAQ,자연과학 및 공학 연구개발업,1629718170.0,502,1.1494027317323534,1.3211266397137962,-0.01841385416717211,0.642149465689726,0.6605633198568981,1.0286753398562654,0.8143678813845927,0.04173597745988947,1.1716562725792476,1.5013006284244623,1.3184962588558373,0.6599779263829868,-0.036681566634604756,1.0265470792841445,7.112465075480115,1121.3302131012324,3.2080271074794854e-244,97.56289061678723,1.6734979456384495e-16,False,False,0.26150259965111855
12,468530.KQ,468530,프로티나,KOSDAQ,자연과학 및 공학 연구개발업,13783005000.0,254,1.1469374354554571,1.315465480849141,0.7559504933935488,1.4136832338181193,0.6577327404245705,0.4652617536165762,1.1424130097897796,0.05847957366617165,1.1132686337298794,1.5785426805036962,1.312554185863129,1.4248753631808544,0.7619501004839737,0.6039043789534214,1.1582259371463781,28.34415573828726,7.000753469863938e-07,11.377085644622781,0.32890379707993206,False,True,0.9076195408981849
13,010170.KQ,010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,1664332379.5,502,1.1223179353055788,1.2595975479085775,1.2151932806448131,1.8449920545991019,0.6297987739542887,0.3413558190586017,0.7951779250056291,0.03979219954222792,1.1170884936906873,1.4313802578734809,1.262948289086784,1.8626904089618537,2.4207421701733978,0.7628306164076399,3.278445158777462,267.1518210705128,9.743593103194587e-59,47.198838463461,8.687946640270823e-07,False,False,0.45161459342783816
14,357880.KQ,357880,SKAI,KOSDAQ,소프트웨어 개발 및 공급업,1513631320.0,502,1.1071171554858072,1.2257083959709851,-0.16099516878151837,0.4518590292039742,0.6128541979854926,1.3562951238689165,0.7844079602965984,0.038721600525536734,1.087033511642431,1.3928693357776996,1.2233696007177877,0.4579838922907711,-0.3207125981282628,0.3687320147169519,7.154821039641524,1057.3658475222348,2.4884191454609496e-230,87.42176444159233,1.735353829921484e-14,False,False,0.303450918901668
15,347700.KQ,347700,스피어,KOSDAQ,소프트웨어 개발 및 공급업,3469739100.0,502,1.1064821076810603,1.2243026546183216,1.3496463506140037,1.9617976779231645,0.6121513273091608,0.31203591185672525,0.7839580200615075,0.03867719146765723,1.0857868138437787,1.3912718807626279,1.2290921589616028,1.9786987118875823,2.6885812222548804,0.6884352468145076,2.6966478387549806,187.18471263137928,2.2560883544291427e-41,6.688004674427683,0.7545342615381556,False,True,0.8327551641350587
16,093240.KS,093240,형지엘리트,KOSPI,봉제의복 제조업,1430336927.5,502,1.104008065698205,1.2188338091266921,-0.5596224863296585,0.049794418233687576,0.6094169045633461,12.238658993932281,0.782205126778404,0.038504424069507034,1.0809367056623083,1.3850571993486502,1.2176486205030705,0.05844283931446329,-1.1148035243551133,0.6063037380871026,5.54780343306032,658.8853706306799,8.41123301166649e-144,92.5065569758216,1.702832703745715e-15,False,False,0.3599285963064788
17,210120.KQ,210120,캔버스엔,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",686014650.0,502,1.0947540454179152,1.198486419958891,-0.33260843196766404,0.2666347780117814,0.5992432099794455,2.2474307907161593,0.7756485242213601,0.0378616256048126,1.0628913908284254,1.3619348526892607,1.1965379982759115,0.2538126878815813,-0.6625771144752672,-0.9933783388852558,8.192014222873159,1453.9777926575284,0.0,89.68651914465194,6.179957679342609e-15,False,False,0.21513413737835752
18,448900.KQ,448900,한국피아이엠,KOSDAQ,자동차 신품 부품 제조업,2947016390.0,502,1.0930643071849984,1.1947895796418204,0.4239557777048988,1.021350567525809,0.5973947898209102,0.584906699829894,0.7744513210941664,0.037744837978624476,1.0596128057056866,1.3577338408222945,1.1931227687398556,1.0297482123100685,0.8445468270153142,0.5048593344424073,2.6066662753166163,159.22644476441263,2.657154657331754e-35,102.84255431291226,1.4682973665902303e-17,False,False,0.4990427286479251
19,226950.KQ,226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,33641274800.0,502,1.0543110327808114,1.111571753843341,1.1382638064582862,1.6940496833799568,0.5557858769216705,0.32808121413108154,0.7469940851733087,0.0351158869020352,0.9858101249813632,1.263166847460901,1.1144989138822659,1.7072819383735853,2.2674937731827765,0.6701518282019795,1.8958260511353728,110.10872584722968,1.2308183929375516e-24,53.7003402452577,5.517369603308396e-08,False,False,0.5200110391521096
20,087010.KQ,087010,펩트론,KOSDAQ,기초 의약물질 제조업,46869139500.0,502,1.049136586131658,1.1006875763599897,0.5566966515484487,1.1070404397284435,0.5503437881799949,0.4971306995027155,0.7433279174858023,0.03477204266147626,0.9761573676779475,1.2507982962528361,1.0997247778240038,1.1096243421596086,1.1089750757036558,0.01211579285322315,5.7277342995735,669.8334387412991,3.5279049863709473e-146,5.633797946667148,0.8450347447530774,False,True,0.7414442369956442
